OCEAN 地球上最大的水体
MOUNTAIN 地球上最高的自然地形
RIVER 流动的水道
FOREST 树木密集的地区
DESERT 干旱缺水的地区
ISLAND 被水环绕的陆地
VALLEY 两山之间的低洼地带
CANYON 深的峡谷
GLACIER 冰冻的河流
WATERFALL 水从高处落下
VOLCANO 喷发岩浆的山
EARTHQUAKE 大地震动
TSUNAMI 海底地震引发的巨浪
HURRICANE 强烈的热带风暴
TORNADO 旋转的风暴
AVALANCHE 雪崩
BLIZZARD 大暴风雪
DROUGHT 长期缺水的天气
FLOOD 河水泛滥
ECLIPSE 月球挡住太阳或地球挡住月光
AURORA 极地天空的彩色光
COMET 带有尾巴的天体
METEOR 流星
CONSTELLATION 星星组成的图案
GALAXY 包含数十亿星星的系统
BLACKHOLE 引力极强的天体
SATELLITE 绕行星运转的天体
ROCKET 飞向太空的载具
SPACESHIP 载人在太空旅行的飞船
TELESCOPE 观测天体的仪器
ASTRONAUT 在太空工作的人
SCIENTIST 研究科学的人
INVENTOR 创造新事物的人
EXPLORER 探索未知的人
PHILOSOPHER 研究思想的人
MATHEMATICIAN 研究数学的人
ARCHITECT 设计建筑的人
PAINTER 用颜料画画的人
SCULPTOR 雕刻艺术品的艺术家
MUSICIAN 演奏音乐的人
COMPOSER 创作音乐的人
WRITER 写作的人
POET 写诗的人
ACTOR 演戏的人
SINGER 唱歌的人
DANCER 跳舞的人
PHOTOGRAPHER 拍照的人
JOURNALIST 报道新闻的人
TEACHER 教学生的人
DOCTOR 治疗病人的人
NURSE 照顾病人的人
LAWYER 法律专业人士
JUDGE 在法庭上做出裁决的人
SCIENTIST 研究科学的人
ENGINEER 设计机器的人
MECHANIC 修理机械的人
CHEF 烹饪食物的人
BAKER 制作面包的人
FARMER 种植农作物的人
FISHERMAN 捕鱼的人
CARPENTER 做木工的人
PLUMBER 修理水管的人
ELECTRICIAN 安装电线的人
PROGRAMMER 编写代码的人
DESIGNER 设计东西的人
PHOTOGRAPHER 拍照的人
TEACHER 教育别人的人
