言为心声 言语是思想的反映，从一个人的话里可以知道他的思想感情。
心口不一 心里想的和嘴上说的不一样。形容人的虚伪、诡诈。
不得人心 心心愿，愿望。得不到群众的支持拥护；得不到众人的好评。
心不应口 心里想的和嘴里说的不一致。指为人虚伪。
口不应心 应符合。心口不一致。
人心不古 古指古代的社会风尚。旧时指人心奸诈、刻薄，没有古人淳厚。
心神不定 定安定。心里烦躁，精神不安。
不臣之心 不臣不守臣子的本分，封建社会中不忠君。意指不忠君的思想◇也指犯上作乱的野心。
心不由意 指不出于本意。
言论风生 形容言谈议论时兴致很高，气氛活跃。
力不从心 心里想做，可是力量够不上。
手不应心 犹言力不从心。心里想做，可是力量够不上。
心神不宁 定安定。形容心情不平静。
死心落地 犹死心塌地。形容打定了主意，决不改变。
日短心长 时间少，心里想要做的事情多。指心愿一时难以实现。
同心一意 指心志一致。
出以公心 指考虑事情以国家和集体的利益为出发点。
贼心不死 不放弃坏念头，而继续做下去。
贪心不足 贪得无厌，永不满足。
上下一心 上上下下一条心。
三心两意 常指不安心，不专一。同三心二意”。
两意三心 三心二意。心里想这样又想那样，形容犹豫不决或意志不坚定。
不正之风 不正当的社会风气。
同心断金 形容心齐力量大。
世风日下 指社会风气一天不如一天。
心口相应 想的与说的相一致。
风行水上 比喻自然流畅，不矫揉造作。
高下在心 高下比喻伸和屈。原意是做事要斟酌情况，采取适当办法◇形容能胸有成竹地处理事情。
以口问心 一面口中自问，一面心中盘算。
言行不一 说的是一套，做的又是另外一套。
心不两用 指一个人的心思一时只能专注于一事。
世道人心 社会的风气，人们的思想。
云心水性 指女子作风轻浮，爱情不专一。
三心二意 又想这样又想那样，犹豫不定。常指不安心，不专一。
流言风语 犹言流言蜚语×无根据的话。指背后散布的诽谤性的坏话。
二心三意 想这样又想那样。形容意念不专，主意不定。同三心二意”。
计上心头 心里突然有了计策。同计上心来”。
心知其意 意意义。心中领会了文章的主旨或技艺的要领。
百计千心 指想尽或用尽一切办法。
风行一世 指一个时期在社会上盛行。
同心一力 团结一致，共同努力。同同心协力”。
风马不接 犹言风马牛不相及。
心手相忘 极言得心应手。比喻技艺纯熟或做事情非常顺利。
